일,시간,건수
22,9,0
22,10,0
22,11,0
22,12,0
22,13,0
22,14,0
22,15,0
22,16,22
22,17,248
22,18,347
22,19,354
22,20,259
22,21,191
22,22,136
22,23,56
23,0,32
23,1,25
23,2,10
23,3,12
23,4,7
23,5,5
23,6,1
23,7,1
23,8,6
23,9,13
23,10,94
23,11,246
23,12,206
23,13,133
23,14,117
23,15,122
23,16,151
23,17,248
23,18,435
23,19,433
23,20,317
23,21,250
23,22,176
23,23,61
24,0,34
24,1,41
24,2,28
24,3,10
24,4,4
24,5,1
24,6,5
24,7,5
24,8,4
24,9,16
24,10,89
24,11,235
24,12,293
24,13,253
24,14,183
24,15,209
24,16,253
24,17,350
24,18,400
24,19,406
24,20,315
24,21,222
24,22,158
24,23,70
25,0,37
25,1,19
25,2,19
25,3,4
25,4,2
25,5,2
25,6,5
25,7,4
25,8,5
25,9,25
25,10,80
25,11,274
25,12,269
25,13,256
25,14,243
25,15,235
25,16,295
25,17,436
25,18,476
25,19,444
25,20,299
25,21,183
25,22,120
25,23,29
26,0,18
26,1,17
26,2,5
26,3,3
26,4,6
26,5,1
26,6,1
26,7,1
26,8,6
26,9,14
26,10,73
26,11,165
26,12,179
26,13,131
26,14,96
26,15,98
26,16,109
26,17,189
26,18,298
26,19,310
26,20,255
26,21,203
26,22,114
26,23,45
27,0,29
27,1,23
27,2,11
27,3,7
27,4,2
27,5,1
27,6,3
27,7,6
27,8,13
27,9,12
27,10,85
27,11,232
27,12,164
27,13,117
27,14,85
27,15,106
27,16,127
27,17,219
27,18,313
27,19,315
27,20,205
27,21,160
27,22,116
27,23,43
28,0,21
28,1,17
28,2,12
28,3,4
28,4,8
28,5,5
28,6,2
28,7,5
28,8,8
28,9,15
28,10,97
28,11,195
28,12,196
28,13,118
28,14,116
28,15,98
28,16,153
28,17,245
28,18,388
28,19,297
28,20,218
28,21,155
28,22,100
28,23,56
29,0,26
29,1,15
29,2,18
29,3,7
29,4,10
29,5,4
29,6,2
29,7,1
29,8,8
29,9,12
29,10,78
29,11,213
29,12,222
29,13,124
29,14,103
29,15,102
29,16,131
29,17,210
29,18,336
29,19,334
29,20,226
29,21,153
29,22,107
29,23,46
30,0,19
30,1,14
30,2,11
30,3,8
30,4,5
30,5,3
30,6,5
30,7,1
30,8,6
30,9,11
30,10,79
30,11,270
30,12,186
30,13,141
30,14,114
30,15,118
30,16,133
30,17,256
30,18,396
30,19,373
30,20,273
30,21,225
30,22,163
30,23,77
31,0,41
31,1,30
31,2,15
31,3,7
31,4,11
31,5,1
31,6,5
31,7,3
31,8,10
31,9,20
31,10,77
31,11,207
31,12,251
31,13,234
31,14,191
31,15,135
31,16,199
31,17,318
31,18,491
31,19,454
31,20,347
31,21,209
31,22,171
31,23,76
